編號,標題,價格,商品網址,圖片網址
46,《臺大出版中心》四書章句集注/宋‧朱熹【三民網路書店】,470,https://shopee.tw//《臺大出版中心》四書章句集注-宋‧朱熹【三民網路書店】-i.42458033.23548940354?sp_atk=ca2577a4-e10d-4e50-b901-17683e7b37b7&xptdk=ca2577a4-e10d-4e50-b901-17683e7b37b7,https://down-tw.img.susercontent.com/file/sg-11134201-7rbl4-lovqummfc2ymb9_tn
47,《三民》新譯荀子讀本(二版)/王忠林-注譯【三民網路書店】,360,https://shopee.tw//《三民》新譯荀子讀本(二版)-王忠林-注譯【三民網路書店】-i.42458033.4749100873?sp_atk=21faca4c-0256-4884-aa02-0bce72cbb63e&xptdk=21faca4c-0256-4884-aa02-0bce72cbb63e,https://down-tw.img.susercontent.com/file/sg-11134201-7rbl8-loo3c492qbkdbb_tn
48,《三民》VOCABULARY 7000 隨身讀/三民英語編輯小組 彙整【三民網路書店】,310,https://shopee.tw//《三民》VOCABULARY-7000-隨身讀-三民英語編輯小組-彙整【三民網路書店】-i.42458033.22480126547?sp_atk=6648104c-e3ff-45ce-962b-e599d411a101&xptdk=6648104c-e3ff-45ce-962b-e599d411a101,https://down-tw.img.susercontent.com/file/sg-11134201-7rbk9-longv2rcd2191f_tn
49,《白象文化》實用執法英文/柯慶忠【三民網路書店】,570,https://shopee.tw//《白象文化》實用執法英文-柯慶忠【三民網路書店】-i.42458033.22049011205?sp_atk=3fa0cf5b-495f-446c-8761-d849373a6b82&xptdk=3fa0cf5b-495f-446c-8761-d849373a6b82,https://down-tw.img.susercontent.com/file/sg-11134201-7rbl0-lovuael4kl6uf5_tn
50,《三民》哲學概論(二版)/冀劍制 著【三民網路書店】,350,https://shopee.tw//《三民》哲學概論(二版)-冀劍制-著【三民網路書店】-i.42458033.5047233074?sp_atk=c483845b-6d05-4f51-8a36-d5c62f318897&xptdk=c483845b-6d05-4f51-8a36-d5c62f318897,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkc-lokzjt5xvldcc7_tn
51,《三民》法學緒論(修訂二十五版)/鄭玉波【三民網路書店】,320,https://shopee.tw//《三民》法學緒論(修訂二十五版)-鄭玉波【三民網路書店】-i.42458033.23574160127?sp_atk=31008550-0ec5-4758-af5b-1a7b07f39442&xptdk=31008550-0ec5-4758-af5b-1a7b07f39442,https://down-tw.img.susercontent.com/file/sg-11134201-7rbld-loeo0y89s8hc5f_tn
52,《三民》VOCABULARY 4001～7000 隨身讀/三民英語編輯小組 彙整【三民網路書店】,285,https://shopee.tw//《三民》VOCABULARY-4001～7000-隨身讀-三民英語編輯小組-彙整【三民網路書店】-i.42458033.23580123320?sp_atk=74f464ad-a7f5-4a4e-a656-e1b715c9630f&xptdk=74f464ad-a7f5-4a4e-a656-e1b715c9630f,https://down-tw.img.susercontent.com/file/sg-11134201-7rbln-lonx4lsfr4wn62_tn
53,《人民文學出版社》萬延元年的FOOTBALL（簡體書）/大江健三郎【三民網路書店】,288,https://shopee.tw//《人民文學出版社》萬延元年的FOOTBALL（簡體書）-大江健三郎【三民網路書店】-i.42458033.22340798648?sp_atk=5da25b1a-ea52-4650-bc9c-eb2f5c363a1c&xptdk=5da25b1a-ea52-4650-bc9c-eb2f5c363a1c,https://down-tw.img.susercontent.com/file/sg-11134201-7rbl5-lo5zrep6opx236_tn
54,鐵道情報250期：特集-南迴線電氣化通車/【三民網路書店】,250,https://shopee.tw//鐵道情報250期：特集-南迴線電氣化通車-【三民網路書店】-i.42458033.19084163314?sp_atk=c53db688-ee73-4990-b6e1-e7a12285b8c3&xptdk=c53db688-ee73-4990-b6e1-e7a12285b8c3,https://down-tw.img.susercontent.com/file/sg-11134201-7rbn4-lo5xo54vsztdde_tn
55,《三民》關鍵片語800(修訂二版)KEY IDIOMS & PHRASES 800/郭慧敏【三民網路書店】,250,https://shopee.tw//《三民》關鍵片語800(修訂二版)KEY-IDIOMS-PHRASES-800-郭慧敏【三民網路書店】-i.42458033.4849142394?sp_atk=aacbd13f-adab-4387-94db-8fd903e86f5e&xptdk=aacbd13f-adab-4387-94db-8fd903e86f5e,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkg-lonmdce7aqh917_tn
56,《三民》危害分析與風險評估/黃清賢【三民網路書店】,640,https://shopee.tw//《三民》危害分析與風險評估-黃清賢【三民網路書店】-i.42458033.22780117343?sp_atk=70e530b9-ee01-4a44-8008-e40aabe29c43&xptdk=70e530b9-ee01-4a44-8008-e40aabe29c43,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkp-lolociior22n88_tn
57,拉丁語綜合教程1：學生用書（簡體書）/漢斯•亨寧•奧爾柏格【三民網路書店】,570,https://shopee.tw//拉丁語綜合教程1：學生用書（簡體書）-漢斯•亨寧•奧爾柏格【三民網路書店】-i.42458033.21859475031?sp_atk=6b6f3a34-9cf5-4f10-a412-db79a2b9ffa5&xptdk=6b6f3a34-9cf5-4f10-a412-db79a2b9ffa5,https://down-tw.img.susercontent.com/file/sg-11134201-22110-vvikivuy6hkv97_tn
58,《宇宙花園》探尋神聖知識的旅程－從未失落的光明（上）/朵洛莉絲‧侃南【三民網路書店】,380,https://shopee.tw//《宇宙花園》探尋神聖知識的旅程－從未失落的光明（上）-朵洛莉絲‧侃南【三民網路書店】-i.42458033.23349028131?sp_atk=4fd51e71-df4d-494a-ac5d-eba4b9a3e260&xptdk=4fd51e71-df4d-494a-ac5d-eba4b9a3e260,https://down-tw.img.susercontent.com/file/sg-11134201-7rbk2-losop5gl5lv71c_tn
